Three Card Game Paradox
Run 1 	Winning no B 	Chosen no B 	Removing no A 	Sticking Wins
Run 2 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 3 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 4 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 5 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 6 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 7 	Winning no B 	Chosen no B 	Removing no C 	Sticking Wins
Run 8 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 9 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 10 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 11 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 12 	Winning no C 	Chosen no C 	Removing no B 	Sticking Wins
Run 13 	Winning no B 	Chosen no A 	Removing no C 	Twisting Wins
Run 14 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 15 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 16 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 17 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
Run 18 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 19 	Winning no C 	Chosen no A 	Removing no B 	Twisting Wins
Run 20 	Winning no A 	Chosen no A 	Removing no C 	Sticking Wins
Run 21 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 22 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 23 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 24 	Winning no C 	Chosen no C 	Removing no A 	Sticking Wins
Run 25 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 26 	Winning no B 	Chosen no C 	Removing no A 	Twisting Wins
Run 27 	Winning no C 	Chosen no B 	Removing no A 	Twisting Wins
Run 28 	Winning no A 	Chosen no B 	Removing no C 	Twisting Wins
Run 29 	Winning no A 	Chosen no C 	Removing no B 	Twisting Wins
