 Three Card Game Paradox!
 Play  1000 Times
 winning  3 chosen  1 card B
 winning  1 chosen  2 card B
 winning  2 chosen  3 card B
 winning  2 chosen  2 card B
 winning  3 chosen  1 card B
 winning  2 chosen  1 card B
 winning  1 chosen  2 card B
 winning  1 chosen  3 card B
 winning  1 chosen  3 card B
 winning  2 chosen  1 card B
 winning  1 chosen  1 card B
 winning  2 chosen  2 card B
 winning  2 chosen  2 card B
 winning  2 chosen  3 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  3 chosen  1 card B
 winning  1 chosen  3 card B
 winning  3 chosen  3 card B
 winning  1 chosen  3 card B
 winning  1 chosen  2 card B
 winning  3 chosen  3 card B
 winning  3 chosen  1 card B
 winning  1 chosen  3 card B
 winning  3 chosen  1 card B
 winning  2 chosen  1 card B
 winning  2 chosen  2 card B
 winning  1 chosen  1 card B
 winning  2 chosen  1 card B
 winning  3 chosen  2 card B
 winning  1 chosen  2 card B
 winning  3 chosen  3 card B
 winning  3 chosen  2 card B
 winning  2 chosen  3 card B
 winning  3 chosen  1 card B
 winning  3 chosen  2 card B
 winning  3 chosen  3 card B
 winning  2 chosen  3 card B
 winning  1 chosen  3 card B
 winning  2 chosen  1 card B
 winning  2 chosen  1 card B
 winning  3 chosen  3 card B
 winning  1 chosen  3 card B
 winning  3 chosen  1 card B
 winning  2 chosen  2 card B
 winning  2 chosen  2 card B
 winning  3 chosen  1 card B
 winning  2 chosen  2 card B
 winning  2 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  2 card B
 winning  3 chosen  2 card B
 winning  3 chosen  3 card B
 winning  3 chosen  3 card B
 winning  1 chosen  1 card B
 winning  3 chosen  2 card B
 winning  1 chosen  3 card B
 winning  2 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  2 chosen  1 card B
 winning  2 chosen  3 card B
 winning  1 chosen  2 card B
 winning  2 chosen  2 card B
 winning  1 chosen  3 card B
 winning  2 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  3 chosen  1 card B
 winning  3 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  1 card B
 winning  2 chosen  1 card B
 winning  1 chosen  2 card B
 winning  3 chosen  2 card B
 winning  3 chosen  1 card B
 winning  3 chosen  3 card B
 winning  1 chosen  2 card B
 winning  3 chosen  2 card B
 winning  2 chosen  3 card B
 winning  1 chosen  3 card B
 winning  2 chosen  3 card B
 winning  3 chosen  2 card B
 winning  1 chosen  1 card B
 winning  2 chosen  1 card B
 winning  2 chosen  1 card B
 winning  1 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  1 card B
 winning  1 chosen  3 card B
 winning  2 chosen  3 card B
 winning  1 chosen  1 card B
 winning  1 chosen  3 card B
 winning  3 chosen  1 card B
 winning  3 chosen  1 card B
 winning  2 chosen  2 card B
 winning  1 chosen  3 card B
 winning  3 chosen  2 card B
 winning  2 chosen  2 card B
 winning  2 chosen  2 card B
 winning  2 chosen  2 card B
 winning  2 chosen  3 card B
 winning  3 chosen  2 card B
 winning  1 chosen  3 card B
 winning  1 chosen  1 card B
 winning  3 chosen  1 card B
 winning  2 chosen  2 card B
 winning  3 chosen  3 card B
 winning  2 chosen  3 card B
 winning  1 chosen  2 card B
 winning  3 chosen  3 card B
 winning  1 chosen  2 card B
 winning  2 chosen  2 card B
 winning  1 chosen  2 card B
 winning  1 chosen  1 card B
 winning  3 chosen  2 card B
 winning  2 chosen  2 card B
 winning  1 chosen  3 card B
 winning  1 chosen  2 card B
 winning  2 chosen  2 card B
 winning  2 chosen  1 card B
 winning  2 chosen  3 card B
 winning  2 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  2 card B
 winning  2 chosen  1 card B
 winning  2 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  3 card B
 winning  1 chosen  3 card B
 winning  3 chosen  2 card B
 winning  2 chosen  3 card B
 winning  1 chosen  3 card B
 winning  1 chosen  2 card B
 winning  2 chosen  3 card B
 winning  1 chosen  1 card B
 winning  1 chosen  2 card B
 winning  1 chosen  1 card B
 winning  2 chosen  2 card B
 winning  3 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  3 chosen  2 card B
 winning  2 chosen  3 card B
 winning  2 chosen  2 card B
 winning  2 chosen  2 card B
 winning  3 chosen  3 card B
 winning  1 chosen  1 card B
 winning  1 chosen  3 card B
 winning  1 chosen  3 card B
 winning  3 chosen  1 card B
 winning  3 chosen  2 card B
 winning  1 chosen  3 card B
 winning  3 chosen  1 card B
 winning  3 chosen  2 card B
 winning  3 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  2 card B
 winning  2 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  2 card B
 winning  2 chosen  2 card B
 winning  3 chosen  2 card B
 winning  3 chosen  3 card B
 winning  2 chosen  1 card B
 winning  3 chosen  2 card B
 winning  3 chosen  3 card B
 winning  2 chosen  3 card B
 winning  3 chosen  1 card B
 winning  1 chosen  2 card B
 winning  1 chosen  3 card B
 winning  2 chosen  3 card B
 winning  1 chosen  1 card B
 winning  2 chosen  3 card B
 winning  1 chosen  3 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  3 chosen  2 card B
 winning  2 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  2 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  2 chosen  3 card B
 winning  3 chosen  3 card B
 winning  3 chosen  1 card B
 winning  2 chosen  1 card B
 winning  2 chosen  3 card B
 winning  2 chosen  1 card B
 winning  2 chosen  3 card B
 winning  3 chosen  3 card B
 winning  3 chosen  1 card B
 winning  2 chosen  1 card B
 winning  3 chosen  3 card B
 winning  1 chosen  3 card B
 winning  2 chosen  2 card B
 winning  1 chosen  2 card B
 winning  2 chosen  3 card B
 winning  1 chosen  1 card B
 winning  1 chosen  3 card B
 winning  3 chosen  1 card B
 winning  3 chosen  2 card B
 winning  3 chosen  3 card B
 winning  3 chosen  1 card B
 winning  3 chosen  1 card B
 winning  2 chosen  2 card B
 winning  2 chosen  2 card B
 winning  3 chosen  2 card B
 winning  2 chosen  2 card B
 winning  3 chosen  3 card B
 winning  1 chosen  3 card B
 winning  1 chosen  1 card B
 winning  2 chosen  1 card B
 winning  1 chosen  1 card B
 winning  1 chosen  1 card B
 winning  2 chosen  1 card B
 winning  1 chosen  2 card B
 winning  3 chosen  3 card B
 winning  2 chosen  2 card B
 winning  3 chosen  3 card B
 winning  2 chosen  1 card B
 winning  2 chosen  1 card B
 winning  2 chosen  2 card B
 winning  2 chosen  1 card B
 winning  2 chosen  3 card B
 winning  3 chosen  3 card B
 winning  2 chosen  3 card B
 winning  1 chosen  2 card B
 winning  2 chosen  3 card B
 winning  1 chosen  2 card B
 winning  3 chosen  3 card B
 winning  3 chosen  1 card B
