Three Card Game Paradox
Run 1000 - Winning A | Chosen A | removed C -  Sticking Wins.
Run 1000 - Winning A | Chosen A | removed C -  Sticking Wins.
Run 1000 - Winning B | Chosen B | removed A -  Sticking Wins.
Run 1000 - Winning A | Chosen A | removed C -  Sticking Wins.
Run 1000 - Winning B | Chosen A | removed C -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning C | Chosen B | removed A -  Twisting Wins.
Run 1000 - Winning C | Chosen B | removed A -  Twisting Wins.
Run 1000 - Winning A | Chosen C | removed B -  Twisting Wins.
Run 1000 - Winning B | Chosen B | removed C -  Sticking Wins.
Run 1000 - Winning C | Chosen A | removed B -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning C | Chosen A | removed B -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning B | Chosen B | removed C -  Sticking Wins.
Run 1000 - Winning A | Chosen A | removed B -  Sticking Wins.
Run 1000 - Winning C | Chosen C | removed A -  Sticking Wins.
Run 1000 - Winning C | Chosen A | removed B -  Twisting Wins.
Run 1000 - Winning B | Chosen A | removed C -  Twisting Wins.
Run 1000 - Winning A | Chosen A | removed B -  Sticking Wins.
Run 1000 - Winning C | Chosen B | removed A -  Twisting Wins.
Run 1000 - Winning C | Chosen A | removed B -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning C | Chosen C | removed B -  Sticking Wins.
Run 1000 - Winning C | Chosen B | removed A -  Twisting Wins.
Run 1000 - Winning B | Chosen A | removed C -  Twisting Wins.
Run 1000 - Winning A | Chosen B | removed C -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning B | Chosen B | removed C -  Sticking Wins.
Run 1000 - Winning A | Chosen C | removed B -  Twisting Wins.
Run 1000 - Winning A | Chosen B | removed C -  Twisting Wins.
Run 1000 - Winning A | Chosen A | removed B -  Sticking Wins.
Run 1000 - Winning C | Chosen B | removed A -  Twisting Wins.
Run 1000 - Winning C | Chosen B | removed A -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning B | Chosen A | removed C -  Twisting Wins.
Run 1000 - Winning B | Chosen C | removed A -  Twisting Wins.
Run 1000 - Winning A | Chosen C | removed B -  Twisting Wins.
Run 1000 - Winning C | Chosen C | removed B -  Sticking Wins.
